time_sec,FP1-F7,FP2-F8,T3-T5
0.0,1.1005375693476183,1.4402797643831566,0.806201631334943
0.05,1.1467897536940939,0.3957771309368049,1.276854044800485
0.1,0.6634469168146294,-0.309997023057053,0.91656255627902
0.15000000000000002,0.046836134012973596,0.9208548859057338,1.1911697549104305
0.2,0.8244222618148328,0.010446866127067689,-0.014016123891778975
0.25,0.3524300950371555,0.14178234006917895,0.1094967599032427
0.30000000000000004,0.09761119161749426,0.802159706438001,0.03818586294019499
0.35000000000000003,0.2733165369962995,0.8474713557209153,0.1148124341431685
0.4,1.2614404390899985,0.5199654090519774,0.8049710987212689
0.45,0.2751483157402325,1.1239304936564147,-1.1445412609573302
0.5,0.04243024334795284,0.557094737225718,0.8186458906204128
0.55,0.06555660605860256,0.3496351414104124,0.23745417129135504
0.6000000000000001,0.47652650577374633,0.12691200131015087,1.0746965095189127
0.65,-0.5750575051401519,0.5542541490519916,0.18983807606229025
0.7000000000000001,-0.4156085147593815,-0.0793521614006187,-0.04009083173740376
0.75,0.23841718273942722,0.40874464360467383,-0.4861655670477437
0.8,-1.1412515777063879,-0.5062363900195341,0.24144173825392767
0.8500000000000001,-0.6431293870235882,0.5560372426916494,0.5261176946942993
0.9,-0.46481045589188813,-0.6268419865139434,-0.5736973956749455
0.9500000000000001,-0.4224368772054735,-1.0816189122381217,-1.3563600202107173
1.0,-0.5494384703411455,-0.14417246488023294,-0.3709538538483726
1.05,0.159217310896974,-1.8200474690167032,-1.4381244403226727
1.1,-0.9103714482564221,-0.7759282996910977,-0.5949311267023798
1.1500000000000001,-0.22062120056678103,-0.8912273845896791,-0.6677512366509388
1.2000000000000002,-0.43872731961670147,-1.4968549456452456,0.058278835765499526
1.25,0.025679197245595642,-1.1514342381644114,-1.2852055515016592
1.3,-1.442830877238429,-1.032547062176334,-1.4263335846134124
1.35,-1.3839117843032207,-1.1917307569890923,-1.799264062749298
1.4000000000000001,-0.9309334722157602,-1.2802908731581288,-0.5154782601551671
1.4500000000000002,-1.433661090498509,-1.3210488003034722,-1.2970269735465394
1.5,-1.4151160035039385,-1.5449516616780854,-1.7144010927801434
1.55,-2.23801802069757,-1.3384529802426715,-1.133601591464342
1.6,-1.541896968249933,-2.0045781454799343,-0.5328482367546249
1.6500000000000001,-1.3130393323157983,-0.8804747515189515,-0.4745758042703194
1.7000000000000002,-1.4094723528317947,-1.4116581638181163,-1.3637073539074829
1.75,-1.1907247961751963,-2.5422444927544934,-1.2057815852498612
1.8,-1.9556784812717953,-1.2211790287697144,-1.4999512849613208
1.85,-1.3482291567812716,-1.9476913054385232,-1.072578663563224
1.9000000000000001,-1.767869171952335,-1.9730354286730571,-1.9785583653792596
1.9500000000000002,-1.3404167612352085,-1.3705502201130886,-1.0658088673623516
2.0,-2.0732309726259555,-1.467316095128442,-1.782957305559351
2.0500000000000003,-1.5139683846829979,-2.324470796842691,-1.4856817937200888
2.1,-2.087107730054872,-2.0304221839325627,-2.058128982182437
2.15,-1.9509550790132084,-1.4444381707937703,-2.730674987590186
2.2,-1.7176449380927108,-2.0095157885677466,-1.6337423204037482
2.25,-2.0721969717096025,-1.5269976652347421,-1.778970969800623
2.3000000000000003,-1.5499184724588733,-2.042302877335365,-1.6003957336132104
2.35,-2.1835077985355054,-1.7186902877527086,-2.411538067488367
2.4000000000000004,-2.0140532053648457,-1.952156225629751,-1.6932827601317042
2.45,-1.5115001077693262,-1.8240708549725895,-1.8427003461876357
2.5,-2.1363141034388167,-2.519261653397871,-1.3394785606394004
2.5500000000000003,-1.8266055023847187,-2.153819186639872,-1.7009761446872302
2.6,-1.7124644419860058,-1.9118213583512267,-1.7508456094941094
2.6500000000000004,-2.129792520509073,-1.4403039816054763,-0.3844612299791068
2.7,-2.2517700096102247,-1.2736655249443412,-0.8853505647537507
2.75,-2.0942522573686797,-0.9022444282987924,-1.4829582111159594
2.8000000000000003,-1.8064928138482081,-1.3879250035690645,-1.382715715936747
2.85,-1.5976195030163702,-2.822737206177135,-1.936060179903425
2.9000000000000004,-1.6635292032476077,-1.7609355173665906,-1.5226614932921416
