t_beat,rr_ms,abs_drr,z_rr,z_abs_drr
66430,628.0,448.0,-0.3622049497724721,1.1073328416591943
66431,1220.0,592.0,1.4933604675079706,1.64456002798261
66432,1188.0,32.0,1.3930596341414605,-0.4446568077195625
66433,1156.0,32.0,1.2927588007749498,-0.4446568077195625
66434,1124.0,32.0,1.1924579674084397,-0.4446568077195625
66435,608.0,516.0,-0.4248929706265411,1.3610234574230295
66436,1132.0,524.0,1.217533175750067,1.3908694122187748
66437,600.0,532.0,-0.4499681789681687,1.42071536701452
66438,828.0,228.0,0.264675258768218,0.2865690847761978
66439,1056.0,228.0,0.9793186965046048,0.2865690847761978
66440,1188.0,132.0,1.3930596341414605,-0.071582372772746
66441,1144.0,44.0,1.2551459882625084,-0.3998878755259445
66442,1068.0,76.0,1.016931509017046,-0.2805040563429632
66443,540.0,528.0,-0.6380322415303757,1.4057923896166475
66444,818.0,278.0,0.2333312483411835,0.4731063022496061
66445,1096.0,278.0,1.1046947382127428,0.4731063022496061
66446,1184.0,88.0,1.3805220299706464,-0.2357351241493453
66447,1148.0,36.0,1.2676835924333223,-0.4297338303216899
66448,1080.0,68.0,1.0545443215294876,-0.3103500111387086
66449,552.0,528.0,-0.6004194290179343,1.4057923896166475
66450,1704.0,1152.0,3.0104105721764407,3.733776863684783
66451,1100.0,604.0,1.1172323423835566,1.689328960176228
66452,1412.0,312.0,2.0951654677070333,0.5999516101315238
66453,1212.0,200.0,1.4682852591663431,0.1821082429910892
66454,1200.0,12.0,1.4306724466539016,-0.5192716947089259
66455,612.0,588.0,-0.4123553664557273,1.6296370505847373
66456,1548.0,936.0,2.5214440095147026,2.927936084199659
66457,1024.0,524.0,0.8790178631380943,1.3908694122187748
66458,1080.0,56.0,1.0545443215294876,-0.3551189433323266
66459,1752.0,672.0,3.1608618222262064,1.9430195759400637
66460,1120.0,632.0,1.1799203632376256,1.7937898019613367
66461,1112.0,8.0,1.154845154895998,-0.5341946721067985
66462,1640.0,528.0,2.80980890544342,1.4057923896166475
